sender_type,signal,action,posterior_belief,rational_posterior,outcome,sender_payoff,receiver_payoff,is_bluff,bluff_success,sender_reasoning,receiver_reasoning,sender_confidence,receiver_confidence,sender_latency_ms,receiver_latency_ms,sender_tokens,receiver_tokens,game_duration_ms,model_key,model_name,treatment,sim_id,timestamp
HIGH,ESCALATE,BACK_DOWN,0.8,1.0,COERCION_SUCCESS,0.8,0.0,False,False,"Given our high military resolve, issuing a strong threat will signal our willingness and capability to fight, deterring the opponent from attacking. Although it costs political capital, the clear demonstration of strength reduces the risk of conflict more effectively than a conciliatory approach.","The opponent's ESCALATE signal suggests a higher likelihood of HIGH RESOLVE since low resolve actors typically avoid escalation. Updating the prior belief from 0.5, the posterior belief in HIGH RESOLVE increases significantly. Given the risk of costly war if attacking a HIGH RESOLVE opponent, backing down is the safer choice.",0.9,0.9,3083,1543,226,252,4626,gpt-4.1-mini,GPT-4.1-mini,zero_shot,10,2026-03-06T04:27:51.460912
LOW,NEGOTIATE,ATTACK,0.3,0.0,WAR_LOW_RESOLVE,-1.0,1.0,False,False,"With low military resolve, escalating would be risky and may provoke conflict we are unprepared for. Offering negotiations signals a willingness to resolve the issue peacefully while leaving room for de-escalation, which may prevent an attack since the opponent does not know our true strength.","The opponent chose to NEGOTIATE, which is more likely if they are LOW RESOLVE, but not impossible if HIGH RESOLVE. Given the prior of 0.5 and the signal, the posterior probability of HIGH RESOLVE decreases. Since attacking risks a costly war if they are HIGH RESOLVE, and the chance of LOW RESOLVE is now higher, attacking is the better expected payoff.",0.8,0.7,1729,2025,229,267,3754,gpt-4.1-mini,GPT-4.1-mini,zero_shot,11,2026-03-06T04:27:55.214618
HIGH,ESCALATE,BACK_DOWN,0.8,1.0,COERCION_SUCCESS,0.8,0.0,False,False,"Given our high military resolve, signaling strength through escalation will demonstrate our capability and willingness to fight, deterring the opponent from attacking. Although it costs political capital, it is necessary to prevent aggression by convincing the opponent we are not to be underestimated.","The opponent's ESCALATE signal is more likely from a HIGH RESOLVE type, as they are willing to take risks. This increases the probability of them being HIGH RESOLVE above the prior 50%. Given the risk of costly war if the opponent is HIGH RESOLVE, it is safer to BACK_DOWN to avoid negative payoffs.",0.9,0.9,1443,1573,225,255,3016,gpt-4.1-mini,GPT-4.1-mini,zero_shot,12,2026-03-06T04:27:58.231074
LOW,NEGOTIATE,BACK_DOWN,0.3,0.0,COERCION_SUCCESS,1.0,0.0,False,False,"With low military resolve, escalating risks provoking an attack or worsening the situation. Offering negotiations signals willingness to resolve conflict peacefully and may convince the opponent that aggression is unnecessary, thus avoiding confrontation.","The opponent's choice to NEGOTIATE suggests a higher likelihood of being LOW RESOLVE, as a HIGH RESOLVE opponent would be less inclined to negotiate and more likely to signal strength. Updating the belief accordingly, the posterior probability of HIGH RESOLVE decreases below 50%. Given the risk of costly war if wrong, it is safer to BACK_DOWN.",0.8,0.7,1273,1924,213,258,3197,gpt-4.1-mini,GPT-4.1-mini,zero_shot,13,2026-03-06T04:28:01.428164
HIGH,ESCALATE,BACK_DOWN,0.8,1.0,COERCION_SUCCESS,0.8,0.0,False,False,"With high military resolve, signaling strength through escalation is the best way to convince the opponent that attacking would be costly and unwise, increasing the likelihood they back down. Although it costs political capital, showing resolve deters aggression more effectively than negotiation in this situation.","The opponent's decision to ESCALATE suggests a higher likelihood of being HIGH RESOLVE, as a low resolve opponent would prefer to avoid costly escalation. Updating the belief accordingly increases confidence that the opponent is strong, making ATTACK risky and potentially costly.",0.9,0.85,1299,1512,228,238,2811,gpt-4.1-mini,GPT-4.1-mini,zero_shot,14,2026-03-06T04:28:04.239643
HIGH,ESCALATE,BACK_DOWN,0.8,1.0,COERCION_SUCCESS,0.8,0.0,False,False,"With a high military resolve, signaling escalation demonstrates credible strength to deter aggression. Although it costs political capital, a strong threat will more effectively convince the opponent to back down and avoid conflict.","The opponent's ESCALATE signal suggests a higher likelihood of being HIGH RESOLVE, as a LOW RESOLVE opponent would be less likely to escalate. Updating the prior belief from 0.5, the posterior belief that the opponent is HIGH RESOLVE increases significantly. Given the risk of costly war if the opponent is HIGH RESOLVE, the safer action is to BACK_DOWN.",0.9,0.8,1205,1793,213,263,2997,gpt-4.1-mini,GPT-4.1-mini,zero_shot,15,2026-03-06T04:28:07.236862
LOW,NEGOTIATE,ATTACK,0.3,0.0,WAR_LOW_RESOLVE,-1.0,1.0,False,False,"With low military resolve, escalating risks provoking conflict we are ill-prepared to handle. Offering negotiations signals a willingness to resolve tensions peacefully, potentially causing the opponent to doubt the threat and reconsider aggression without immediate confrontation.","The opponent's signal to NEGOTIATE suggests a lower likelihood of HIGH RESOLVE, as a strong military usually prefers to intimidate or refuse negotiations. Thus, the posterior belief that the opponent is HIGH RESOLVE decreases from 0.5. Given the reduced belief and the payoff structure, attacking is advantageous since the opponent is more likely LOW RESOLVE, making the war an easy win.",0.8,0.7,1565,1588,218,266,3153,gpt-4.1-mini,GPT-4.1-mini,zero_shot,16,2026-03-06T04:28:10.390234
LOW,NEGOTIATE,ATTACK,0.3,0.0,WAR_LOW_RESOLVE,-1.0,1.0,False,False,"Since my military resolve is low, directly escalating risks provoking a conflict I am ill-prepared to fight. By signaling willingness to negotiate, I can buy time and potentially de-escalate tensions while leaving uncertainty about my true resolve.","The opponent's choice to NEGOTIATE suggests they are more likely LOW RESOLVE, as a HIGH RESOLVE opponent would prefer to signal strength or deterrence rather than negotiation. Updating from a 50% prior, the posterior probability of HIGH RESOLVE decreases. Given the risk of costly war if wrong, but potential easy win if correct, ATTACK is favored with moderate confidence.",0.8,0.7,1122,2146,222,264,3268,gpt-4.1-mini,GPT-4.1-mini,zero_shot,17,2026-03-06T04:28:13.658481
LOW,NEGOTIATE,BACK_DOWN,0.3,0.0,COERCION_SUCCESS,1.0,0.0,False,False,"With low military resolve, directly escalating risks provoking conflict we are ill-prepared for. Offering negotiations signals willingness to resolve peacefully, potentially avoiding attack without revealing weakness.","The opponent's signal to NEGOTIATE suggests a lower likelihood of being HIGH RESOLVE, as a strong military type would be less inclined to negotiate. Updating the belief reduces the chance of HIGH RESOLVE below 50%. Given the risk of costly war if they are still HIGH RESOLVE, it is safer to BACK_DOWN.",0.8,0.8,1614,1668,208,253,3282,gpt-4.1-mini,GPT-4.1-mini,zero_shot,18,2026-03-06T04:28:16.940473
HIGH,ESCALATE,BACK_DOWN,0.8,1.0,COERCION_SUCCESS,0.8,0.0,False,False,"Displaying a strong threat signals high military resolve, deterring the opponent from attacking by convincing them we are willing and able to fight. Although it costs political capital, it effectively prevents conflict by demonstrating strength.","The opponent's ESCALATE signal suggests a higher likelihood of being HIGH RESOLVE, as a low-resolve opponent would typically avoid escalation. Updating the belief accordingly, the probability of HIGH RESOLVE increases. Given the risk of costly war if the opponent is HIGH RESOLVE, it is safer to BACK_DOWN.",0.9,0.9,1528,2076,216,250,3605,gpt-4.1-mini,GPT-4.1-mini,zero_shot,19,2026-03-06T04:28:20.545220
LOW,NEGOTIATE,ATTACK,0.3,0.0,WAR_LOW_RESOLVE,-1.0,1.0,False,False,"With low military resolve, a strong threat risks exposing our weakness and may provoke aggression. Offering negotiations signals willingness to resolve issues peacefully, potentially avoiding conflict and buying time to rebuild strength. This approach reduces the chance of being attacked without incurring political costs.","The opponent's choice to NEGOTIATE suggests a higher likelihood of low resolve since a strong military would prefer to signal strength rather than negotiate. This updates the belief that the opponent is HIGH RESOLVE downward. Given the expected payoff, attacking is favorable if the opponent is low resolve, and the updated belief supports this.",0.85,0.7,2623,1519,226,251,4142,gpt-4.1-mini,GPT-4.1-mini,zero_shot,20,2026-03-06T04:28:24.687338
LOW,NEGOTIATE,ATTACK,0.3,0.0,WAR_LOW_RESOLVE,-1.0,1.0,False,False,"With low military resolve, directly escalating risks provoking conflict we are ill-prepared for. Offering negotiations signals a preference for peaceful resolution, avoiding unnecessary confrontation while leaving room to manage the situation diplomatically.","The opponent choosing to NEGOTIATE suggests a higher likelihood they are LOW RESOLVE, as a HIGH RESOLVE opponent would prefer to demonstrate strength rather than negotiate. Thus, the posterior belief that the opponent is HIGH RESOLVE decreases from 0.5. Given the risk of costly war if wrong, but the potential gain if correct, attacking is favored if the probability of HIGH RESOLVE is sufficiently low.",0.8,0.7,1242,1736,215,269,2978,gpt-4.1-mini,GPT-4.1-mini,zero_shot,21,2026-03-06T04:28:27.665159
HIGH,ESCALATE,BACK_DOWN,0.8,1.0,COERCION_SUCCESS,0.8,0.0,False,False,"To deter an attack, I must convince the opponent that I have high military resolve. Escalating with a strong threat signals my willingness and capability to fight, increasing the likelihood that the opponent will back down. Although it costs political capital, it is necessary to prevent conflict.","The opponent's decision to ESCALATE signals a higher likelihood of HIGH RESOLVE since a LOW RESOLVE opponent would prefer to avoid costly conflict. Updating the belief from 50% to approximately 80% reflects this increased probability. Given the high risk of costly war, it is strategically safer to BACK_DOWN.",0.9,0.85,1482,2997,230,250,4480,gpt-4.1-mini,GPT-4.1-mini,zero_shot,22,2026-03-06T04:28:32.144767
HIGH,ESCALATE,BACK_DOWN,0.8,1.0,COERCION_SUCCESS,0.8,0.0,False,False,"Demonstrating strength through escalation will convince the opponent of my high military resolve, deterring an attack. Although it costs political capital, signaling firm readiness is necessary to avoid conflict given our strong military capability.","The opponent's ESCALATE signal suggests a higher likelihood of being HIGH RESOLVE, as only a committed adversary would risk escalation. Updating from the prior, the posterior belief in HIGH RESOLVE increases significantly, making ATTACK too risky. Therefore, backing down avoids a costly war.",0.9,0.9,1096,1672,217,245,2768,gpt-4.1-mini,GPT-4.1-mini,zero_shot,23,2026-03-06T04:28:34.912743
LOW,NEGOTIATE,BACK_DOWN,0.3,0.0,COERCION_SUCCESS,1.0,0.0,False,False,"Given our low military resolve, escalating with a strong threat risks exposing our weakness and may provoke an attack. Offering negotiations signals a willingness to resolve the crisis peacefully, potentially avoiding conflict while buying time to improve our position.","The opponent's signal to NEGOTIATE suggests a preference for avoiding conflict, which is more consistent with LOW RESOLVE than HIGH RESOLVE. Updating the belief accordingly, the posterior probability of HIGH RESOLVE decreases below 50%. Given the risk of costly war if the opponent is actually HIGH RESOLVE, it is safer to BACK_DOWN.",0.85,0.8,1089,2564,219,255,3653,gpt-4.1-mini,GPT-4.1-mini,zero_shot,24,2026-03-06T04:28:38.565570
HIGH,ESCALATE,BACK_DOWN,0.8,1.0,COERCION_SUCCESS,0.8,0.0,False,False,"With high military resolve, signaling escalation demonstrates credible strength and willingness to defend interests, increasing the opponent's likelihood to back down. Although it costs political capital, a strong threat is necessary to avoid being perceived as weak and to deter an attack.","The opponent's signal to ESCALATE suggests they are likely HIGH RESOLVE, as only a strong military would benefit from escalation. This increases the posterior belief above the prior 50%. Given the risk of costly war if wrong, it is safer to BACK_DOWN.",0.9,0.9,1336,3148,224,241,4484,gpt-4.1-mini,GPT-4.1-mini,zero_shot,25,2026-03-06T04:28:43.049428
LOW,NEGOTIATE,BACK_DOWN,0.5,0.0,COERCION_SUCCESS,1.0,0.0,False,False,"Given our low military resolve, issuing a strong threat risks exposing our weakness and may provoke aggression. Offering negotiations signals willingness to resolve the conflict peacefully, potentially avoiding escalation and buying time to strengthen our position.","The opponent choosing to NEGOTIATE suggests they may be LOW RESOLVE, but a HIGH RESOLVE opponent might also negotiate to avoid immediate conflict. Given the prior of 0.5 and no additional likelihoods, the posterior belief remains around 0.5. Attacking risks a costly war if the opponent is HIGH RESOLVE, so backing down is safer.",0.8,0.7,1118,2045,216,261,3162,gpt-4.1-mini,GPT-4.1-mini,zero_shot,26,2026-03-06T04:28:46.211523
LOW,NEGOTIATE,BACK_DOWN,0.3,0.0,COERCION_SUCCESS,1.0,0.0,False,False,"With low military resolve, escalating risks exposing weakness and provoking an attack. Offering negotiations signals a willingness to avoid conflict and may buy time to improve our position, potentially convincing the opponent to back down without conflict.","The opponent signaling NEGOTIATE suggests they may be LOW RESOLVE, as a HIGH RESOLVE opponent would likely prefer to signal strength or readiness for conflict rather than negotiation. Updating from the prior 50%, this signal reduces the likelihood of HIGH RESOLVE. Given the risk of costly war if mistaken, it is safer to BACK_DOWN.",0.8,0.8,1819,1518,217,255,3337,gpt-4.1-mini,GPT-4.1-mini,zero_shot,27,2026-03-06T04:28:49.548470
HIGH,ESCALATE,BACK_DOWN,0.8,1.0,COERCION_SUCCESS,0.8,0.0,False,False,"Given our high military resolve, signaling strength through escalation will more convincingly convey our willingness and capability to fight, deterring opponent aggression. Although it costs political capital, a strong threat reduces the risk of being attacked by making doubt about our resolve less likely.","The opponent's ESCALATE signal suggests a higher likelihood of HIGH RESOLVE since only a strong military would confidently escalate. This increases the posterior belief above 50%, making ATTACK riskier due to potential costly war. Therefore, it is safer to BACK_DOWN.",0.9,0.85,1534,1909,227,241,3442,gpt-4.1-mini,GPT-4.1-mini,zero_shot,28,2026-03-06T04:28:52.990985
LOW,NEGOTIATE,ATTACK,0.3,0.0,WAR_LOW_RESOLVE,-1.0,1.0,False,False,"With low military resolve, escalating risks provoking conflict we are ill-prepared for. Offering negotiations signals willingness to resolve peacefully, potentially deterring aggression by avoiding provocation.","The opponent signaling NEGOTIATE suggests they are more likely LOW RESOLVE, as a HIGH RESOLVE opponent would prefer to signal strength or readiness to fight. Updating the belief reduces the probability of HIGH RESOLVE below 50%, making ATTACK more attractive due to the higher chance of an easy win.",0.85,0.7,2323,2487,209,248,4810,gpt-4.1-mini,GPT-4.1-mini,zero_shot,29,2026-03-06T04:28:57.801215
LOW,NEGOTIATE,BACK_DOWN,0.3,0.0,COERCION_SUCCESS,1.0,0.0,False,False,"With low military resolve, escalating risks provoking the opponent to test our weakness. Offering negotiations signals willingness to resolve peacefully, potentially avoiding conflict while preserving political capital. This approach may create doubt about our strength, encouraging the opponent to reconsider aggression.","The opponent choosing to NEGOTIATE suggests a lower likelihood of being HIGH RESOLVE, as a strong military power would more likely signal aggression or deterrence. Updating the belief, the probability they are HIGH RESOLVE decreases. Given the risk of costly war if they are actually HIGH RESOLVE, it is safer to BACK_DOWN.",0.8,0.8,1875,1712,223,253,3587,gpt-4.1-mini,GPT-4.1-mini,zero_shot,30,2026-03-06T04:29:01.387746
LOW,NEGOTIATE,BACK_DOWN,0.3,0.0,COERCION_SUCCESS,1.0,0.0,False,False,"With low military resolve, escalating could expose our weakness and provoke an attack. Offering negotiations signals a willingness to engage diplomatically, potentially avoiding conflict while maintaining the chance to rebuild strength. This approach minimizes immediate risks.","The opponent's signal to NEGOTIATE suggests a preference for avoiding conflict, which is more consistent with LOW RESOLVE. Given the initial 50% prior and the observed peaceful signal, the posterior belief that the opponent is HIGH RESOLVE decreases. Since attacking risks a costly war if the opponent is high resolve, it is safer to BACK_DOWN.",0.85,0.8,1799,2153,218,257,3952,gpt-4.1-mini,GPT-4.1-mini,zero_shot,31,2026-03-06T04:29:05.339828
LOW,NEGOTIATE,ATTACK,0.3,0.0,WAR_LOW_RESOLVE,-1.0,1.0,False,False,"With low military resolve, escalating with a strong threat risks exposing our weakness and inviting aggression. By choosing to negotiate, we signal a willingness to resolve issues peacefully, potentially buying time to strengthen our position and avoiding immediate conflict.","The opponent choosing to NEGOTIATE suggests a lower likelihood of being HIGH RESOLVE, as a strong military type would be less inclined to negotiate. Therefore, updating the belief should decrease the probability of HIGH RESOLVE. Given the reduced risk, ATTACK is preferable since the expected payoff is positive.",0.8,0.7,1603,1820,220,247,3423,gpt-4.1-mini,GPT-4.1-mini,zero_shot,32,2026-03-06T04:29:08.762592
LOW,NEGOTIATE,ATTACK,0.3,0.0,WAR_LOW_RESOLVE,-1.0,1.0,False,False,"With low military resolve, escalating risks provoking conflict we are unprepared for, while negotiating signals a willingness to peacefully resolve tensions and buy time to rebuild strength. Although this may appear weak, it reduces the immediate threat of attack by avoiding provocation.","The opponent's choice to NEGOTIATE suggests a higher likelihood of LOW RESOLVE, as a HIGH RESOLVE opponent might prefer to signal strength or readiness for conflict. Updating the belief lowers the probability of HIGH RESOLVE below 50%, making ATTACK more favorable given the potential payoff.",0.8,0.7,1192,1698,225,245,2890,gpt-4.1-mini,GPT-4.1-mini,zero_shot,33,2026-03-06T04:29:11.653099
LOW,NEGOTIATE,BACK_DOWN,0.3,0.0,COERCION_SUCCESS,1.0,0.0,False,False,"With low military resolve, escalating risks exposing our weakness and inviting aggression. Offering negotiations signals willingness to resolve conflict peacefully, potentially deterring attack by reducing perceived threat and buying time to rebuild strength.","The opponent's choice to NEGOTIATE suggests they may prefer to avoid conflict, which is more consistent with LOW RESOLVE. This signal reduces the probability that they are HIGH RESOLVE from the prior 50%. Given the risk of costly war if they are actually HIGH RESOLVE, it is safer to BACK_DOWN.",0.8,0.8,1440,1691,214,251,3131,gpt-4.1-mini,GPT-4.1-mini,zero_shot,34,2026-03-06T04:29:14.784142
HIGH,ESCALATE,BACK_DOWN,0.8,1.0,COERCION_SUCCESS,0.8,0.0,False,False,"With high military resolve, signaling strong commitment through escalation will convince the opponent of our readiness to fight, deterring potential attacks. Although it costs political capital, the benefits of preventing conflict outweigh the costs. Therefore, a strong threat is the optimal strategy.","The opponent's ESCALATE signal suggests a higher likelihood they are HIGH RESOLVE, as only a strong military would escalate confidently. Updating from 50%, the posterior belief in HIGH RESOLVE rises significantly. Given the risk of costly war if HIGH RESOLVE, backing down is safer.",0.9,0.9,1358,1484,226,245,2841,gpt-4.1-mini,GPT-4.1-mini,zero_shot,35,2026-03-06T04:29:17.625375
HIGH,ESCALATE,BACK_DOWN,0.8,1.0,COERCION_SUCCESS,0.8,0.0,False,False,"Given my high military resolve, signaling strength through escalation will convince the opponent of my readiness to fight, deterring any attack. Although escalation costs political capital, it is necessary to prevent conflict by making my resolve undeniable.","The opponent's decision to ESCALATE is more consistent with HIGH RESOLVE, as LOW RESOLVE types typically avoid escalation due to the risk of costly war. Therefore, updating the belief increases the chance the opponent is HIGH RESOLVE, making ATTACK risky with a potential loss. BACK_DOWN avoids losses regardless of type.",0.9,0.9,1263,1971,219,252,3234,gpt-4.1-mini,GPT-4.1-mini,zero_shot,36,2026-03-06T04:29:20.859418
HIGH,ESCALATE,BACK_DOWN,0.8,1.0,COERCION_SUCCESS,0.8,0.0,False,False,"Given our high military resolve, issuing a strong threat signals our readiness and capability to retaliate, deterring the opponent from attacking. Although this costs political capital, it is the most effective way to convince the opponent of our strength and avoid conflict.","The opponent's ESCALATE signal increases the likelihood they are HIGH RESOLVE, as LOW RESOLVE types prefer to avoid escalation. Updating from 50%, the posterior belief in HIGH RESOLVE rises significantly. Given the risk of costly war if HIGH RESOLVE, backing down is the safer choice.",0.9,0.9,1549,2360,225,247,3909,gpt-4.1-mini,GPT-4.1-mini,zero_shot,37,2026-03-06T04:29:24.768163
HIGH,ESCALATE,BACK_DOWN,0.8,1.0,COERCION_SUCCESS,0.8,0.0,False,False,"With high military resolve, signaling strength through escalation can deter the opponent by convincing them of our willingness and ability to fight, thereby preventing an attack. Although it costs political capital, demonstrating resolve is critical to avoid miscalculation by the opponent.","The ESCALATE signal is more likely from a HIGH RESOLVE opponent who is prepared for conflict, increasing the chance they are strong militarily. Given this, the posterior belief that the opponent is HIGH RESOLVE should increase above 0.5. Since attacking risks a costly war if the opponent is indeed HIGH RESOLVE, backing down is the safer choice.",0.9,0.9,1138,3400,224,260,4538,gpt-4.1-mini,GPT-4.1-mini,zero_shot,38,2026-03-06T04:29:29.305964
LOW,NEGOTIATE,BACK_DOWN,0.3,0.0,COERCION_SUCCESS,1.0,0.0,False,False,"With low military resolve, a strong threat risks exposure and potential escalation that we cannot sustain. A conciliatory offer to negotiate signals willingness to avoid conflict, potentially buying time to rebuild strength and avoiding immediate attack.","The opponent's choice to negotiate suggests a lower likelihood of high resolve, as a strong military type would be less inclined to negotiate. Updating the prior belief reduces the chance of high resolve below 50%. Given the risk of costly war if the opponent is actually high resolve, it is safer to back down.",0.8,0.8,1524,3192,217,249,4717,gpt-4.1-mini,GPT-4.1-mini,zero_shot,39,2026-03-06T04:29:34.022766
HIGH,ESCALATE,BACK_DOWN,0.8,1.0,COERCION_SUCCESS,0.8,0.0,False,False,"Demonstrating a strong threat will convey our high military resolve clearly, deterring the opponent from attacking and avoiding conflict. Though it costs political capital, the risk of appearing weak and provoking an attack is greater. Escalation is the best way to ensure they back down.","The opponent's decision to ESCALATE suggests a higher likelihood of being HIGH RESOLVE, as a LOW RESOLVE player would prefer to avoid costly conflict. Therefore, the posterior belief that the opponent is HIGH RESOLVE increases above the prior. Given the significant cost of attacking a HIGH RESOLVE opponent, the best action is to BACK_DOWN to avoid negative payoff.",0.9,0.9,2483,1610,231,260,4093,gpt-4.1-mini,GPT-4.1-mini,zero_shot,40,2026-03-06T04:29:38.115640
