variant,variant_label,sim_id,sender_type,signal,action,posterior_belief,rational_posterior,outcome,sender_payoff,receiver_payoff,is_bluff,bluff_success,sender_reasoning,receiver_reasoning,sender_confidence,receiver_confidence,sender_latency_ms,receiver_latency_ms,total_tokens,timestamp
V1_neutral,Neutral/Abstract,10,LOW,NEGOTIATE,BACK_DOWN,0.5,0.0,COERCION_SUCCESS,0.5,0.0,False,False,"As a LOW RESOLVE type, I prefer to avoid conflict to minimize losses. Sending NEGOTIATE signals a willingness to avoid escalation, encouraging the opponent to back down or negotiate, thus maximizing my expected payoff.","Given the signal NEGOTIATE, the prior probability that Player A is HIGH RESOLVE remains 0.5. Attacking risks a -1 payoff if Player A is HIGH RESOLVE, which occurs with 50% probability, averaging expected payoff of (0.5 * -1) + (0.5 * 2) = 0.5. Backing down yields 0 payoff, which is safer and avoids conflict given the uncertainty. Therefore, backing down is preferred.",0.9,0.8,1496,2708,614,2026-03-06T10:48:51.957062
V1_neutral,Neutral/Abstract,11,HIGH,ESCALATE,BACK_DOWN,0.5,1.0,COERCION_SUCCESS,1.0,0.0,False,False,"As a HIGH RESOLVE type, signaling ESCALATE credibly demonstrates strength and deters the opponent from attacking, leading them to back down and yielding a payoff of +1. Signaling NEGOTIATE risks the opponent doubting my resolve and choosing to attack, which would cost -1. Therefore, ESCALATE maximizes my expected payoff.","The signal ESCALATE is ambiguous and could come from either HIGH RESOLVE or LOW RESOLVE type with equal probability. Attacking risks a -1 payoff if Player A is HIGH RESOLVE, while backing down yields a safe 0 payoff. Given the equal likelihood and potential loss, it's safer to back down.",0.9,0.7,1713,1876,607,2026-03-06T10:48:55.847902
V1_neutral,Neutral/Abstract,12,LOW,NEGOTIATE,BACK_DOWN,0.5,0.0,COERCION_SUCCESS,0.5,0.0,False,False,"As a LOW RESOLVE type, I want to avoid conflict because being attacked would cost me -2, which is worse than the neutral or positive outcomes from negotiation. By signaling NEGOTIATE, I indicate a preference for peaceful resolution to reduce the risk of an opponent attack.","The prior probability of Player A being HIGH RESOLVE is 0.5, and the signal NEGOTIATE provides no additional info to update this belief. Attacking risks a -1 payoff if A is HIGH RESOLVE and only gains +2 if A is LOW RESOLVE. The expected payoff of attacking is (0.5 * -1) + (0.5 * 2) = 0.5, which is positive, but the cost to both is high and risking conflict might be unfavorable. Backing down yields 0 and avoids potential loss.",0.9,0.7,1685,2201,643,2026-03-06T10:49:00.035630
V1_neutral,Neutral/Abstract,13,LOW,NEGOTIATE,ATTACK,0.5,0.0,BLUFF_CALLED,-2.0,2.0,False,False,"As a LOW RESOLVE type, I prefer to avoid conflict to minimize my losses. Sending NEGOTIATE signals my preference for peaceful resolution, reducing the chance of the opponent attacking me and causing a -2 payoff.","The prior probability that Player A is HIGH RESOLVE is 0.5, as no additional information from the signal NEGOTIATE changes this belief. The expected payoff for ATTACK is (0.5 * -1) + (0.5 * 2) = 0.5, which is better than 0 payoff from BACK_DOWN. Therefore, ATTACK is the optimal choice.",0.9,0.8,1613,3462,603,2026-03-06T10:49:05.411165
V1_neutral,Neutral/Abstract,14,HIGH,ESCALATE,BACK_DOWN,0.5,1.0,COERCION_SUCCESS,1.0,0.0,False,False,"As a HIGH RESOLVE type, signaling ESCALATE can deter the opponent from attacking, potentially causing them to back down and resulting in a +1 payoff. If the opponent does attack, the outcome is -1, which is better than the -2 loss if I were LOW RESOLVE. Hence, ESCALATE is the best signal to maximize expected payoff.","The prior belief that Player A is HIGH RESOLVE is 0.5. The ESCALATE signal does not provide additional information, so the posterior remains 0.5. Attacking risks a -1 payoff if Player A is HIGH RESOLVE and only +2 if LOW RESOLVE. The expected payoff from attacking is (0.5 * -1) + (0.5 * 2) = 0.5, while backing down gives 0. Given the risk of negative payoff and balanced probabilities, backing down is safer.",0.9,0.8,1929,3095,663,2026-03-06T10:49:10.736630
V1_neutral,Neutral/Abstract,15,HIGH,ESCALATE,BACK_DOWN,0.5,1.0,COERCION_SUCCESS,1.0,0.0,False,False,"As a HIGH RESOLVE type, signaling ESCALATE credibly conveys strong capabilities and willingness to fight, deterring an opponent from attacking and prompting them to back down, resulting in a +1 payoff for me. Choosing NEGOTIATE risks the opponent misjudging my resolve and attacking, which would yield a -1 payoff. Therefore, ESCALATE maximizes my expected payoff given my type.","The signal ESCALATE is sent by both HIGH RESOLVE and LOW RESOLVE types with equal prior probability 0.5. Attacking risks a -1 payoff if Player A is HIGH RESOLVE, and only yields +2 if Player A is LOW RESOLVE. Given equal probability, expected payoff of ATTACK is (0.5 * -1) + (0.5 * 2) = 0.5, which is positive but risky. The expected gain is modest and losses are severe if wrong. BACK_DOWN yields 0 guaranteed, and gives Player A +1. Given the risk of severe penalty, backing down is safer unless more information is available. Therefore, I choose to BACK_DOWN.",0.9,0.7,2809,3166,704,2026-03-06T10:49:17.012805
V1_neutral,Neutral/Abstract,16,LOW,NEGOTIATE,BACK_DOWN,0.5,0.0,COERCION_SUCCESS,0.5,0.0,False,False,"As a LOW RESOLVE type, I prefer to avoid conflict because being attacked leads to a significant loss (-2). Sending NEGOTIATE signals peaceful intent and reduces the risk of provocation.","The signal NEGOTIATE does not change the prior belief. Given equal probabilities for HIGH RESOLVE and LOW RESOLVE types, attacking risks a -1 payoff if the sender is HIGH RESOLVE. Backing down yields 0 payoff and avoids potential losses. Therefore, backing down is safer.",0.9,0.8,1121,1711,576,2026-03-06T10:49:20.146614
V1_neutral,Neutral/Abstract,17,LOW,NEGOTIATE,BACK_DOWN,0.5,0.0,COERCION_SUCCESS,0.5,0.0,False,False,"As LOW RESOLVE, I prefer to avoid conflict to minimize losses. Escalating risks provoking an attack, leading to a worse payoff (-2) if attacked. Negotiating signals willingness to avoid costly conflict, increasing the chance the opponent will back down or negotiate as well, resulting in a +1 payoff.","The signal NEGOTIATE does not distinguish between HIGH RESOLVE and LOW RESOLVE types, so the belief remains the prior of 0.5. Given the expected payoffs, attacking yields an expected payoff of 0.5*(-1) + 0.5*(2) = 0.5, while backing down yields 0. Since the expected payoff of attacking is positive, attacking is optimal from a purely payoff-maximizing perspective. However, attacking after a NEGOTIATE signal may contradict the spirit of negotiation and could damage future interactions, so if considering such aspects, backing down may be safer. Given no further information, choosing ATTACK maximizes expected payoff.",0.9,0.8,1586,2421,679,2026-03-06T10:49:24.455056
V1_neutral,Neutral/Abstract,18,LOW,NEGOTIATE,BACK_DOWN,0.5,0.0,COERCION_SUCCESS,0.5,0.0,False,False,"As a LOW RESOLVE type, I prefer to avoid conflict because if attacked, I suffer a loss of -2, which is worse than the -1 loss for HIGH RESOLVE. By signaling NEGOTIATE, I convey willingness to avoid escalation, hoping the opponent will back down or choose a peaceful outcome, maximizing my payoff.","The posterior belief remains the prior since NEGOTIATE does not differentiate types. Attacking risks a -1 payoff if Player A is HIGH RESOLVE, which has 0.5 probability. Expected payoff of ATTACK = 0.5*(-1) + 0.5*2 = 0.5. BACK_DOWN gives 0 payoff, which is safer, avoiding the risk of loss.",0.9,0.8,1833,2530,621,2026-03-06T10:49:29.119780
V1_neutral,Neutral/Abstract,19,LOW,NEGOTIATE,BACK_DOWN,0.5,0.0,COERCION_SUCCESS,0.5,0.0,False,False,"As LOW RESOLVE, I prefer to avoid conflict because if attacked, I lose -2 which is worse than losing -1 in conflict. Negotiating signals willingness to avoid escalation and possibly induce the opponent to back down, earning me +1.","The signal NEGOTIATE is common to both types, offering no new information to update beliefs. Given equal prior probabilities and risk of mutual loss if attacking a HIGH RESOLVE type, backing down avoids potential loss and guarantees a neutral outcome.",0.9,0.7,1494,1569,576,2026-03-06T10:49:32.484746
V1_neutral,Neutral/Abstract,20,LOW,NEGOTIATE,BACK_DOWN,0.5,0.0,COERCION_SUCCESS,0.5,0.0,False,False,"As LOW RESOLVE, I prefer to avoid conflict and minimize losses. Sending NEGOTIATE signals willingness to avoid escalation, which may encourage the opponent to back down and give me a payoff of +1 instead of risking an attack that would cost me -2.","Given the signal NEGOTIATE, both HIGH RESOLVE and LOW RESOLVE types are equally likely (0.5 each). Attacking risks a -1 payoff if Player A is HIGH RESOLVE, but yields +2 only if Player A is LOW RESOLVE. Since expected payoff from ATTACK is (0.5 * -1) + (0.5 * 2) = 0.5, positive but small, while BACK_DOWN gives certain 0 payoff and avoids potential losses. Considering risk, backing down is safer.",0.9,0.7,1559,2412,640,2026-03-06T10:49:36.756646
V1_neutral,Neutral/Abstract,21,LOW,NEGOTIATE,BACK_DOWN,0.5,0.0,COERCION_SUCCESS,0.5,0.0,False,False,"As a LOW RESOLVE type, I prefer to avoid conflict because if attacked, I lose -2. Sending NEGOTIATE signals my preference for peaceful outcomes and reduces the chance the opponent will attack.","Given the NEGOTIATE signal, the prior belief that Player A is HIGH RESOLVE remains 0.5. Attacking risks a -1 payoff if Player A is HIGH RESOLVE, which is equally likely as the +2 payoff from attacking a LOW RESOLVE type. Given the risk and payoff structure, backing down yields a guaranteed 0 and avoids potential loss.",0.9,0.8,1442,2562,588,2026-03-06T10:49:41.062530
V1_neutral,Neutral/Abstract,22,LOW,NEGOTIATE,BACK_DOWN,0.5,0.0,COERCION_SUCCESS,0.5,0.0,False,False,"As a LOW RESOLVE type, I prefer to avoid conflict because if attacked, I suffer a significant loss (-2). By signaling NEGOTIATE, I increase the chance that my opponent will back down, giving me a positive payoff (+1), while reducing the risk of escalation that could lead to worse outcomes.","The signal NEGOTIATE does not change my initial belief that the sender is equally likely to be HIGH RESOLVE or LOW RESOLVE. Attacking risks a -1 payoff if the sender is HIGH RESOLVE, but yields +2 if LOW RESOLVE. However, since the probabilities are equal, expected payoff of ATTACK is (0.5 * -1) + (0.5 * 2) = 0.5, which is positive. But considering potential loss and uncertainty, and the fact that backing down yields 0 safely while player A gets +1, the safer decision in a negotiation signal is to BACK_DOWN.",0.9,0.7,1829,2685,670,2026-03-06T10:49:45.877290
V1_neutral,Neutral/Abstract,23,HIGH,ESCALATE,BACK_DOWN,0.5,1.0,COERCION_SUCCESS,1.0,0.0,False,False,"As a HIGH RESOLVE type, signaling ESCALATE credibly communicates my strong capabilities and willingness to fight, encouraging the opponent to back down and granting me a payoff of +1. If I NEGOTIATE, the opponent might perceive me as LOW RESOLVE and attack, risking a worse outcome. Therefore, ESCALATE maximizes my expected payoff.","The signal ESCALATE is ambiguous given equal prior probabilities of HIGH RESOLVE and LOW RESOLVE types. Attacking risks a -1 payoff if Player A is HIGH RESOLVE with 0.5 probability, and gains +2 if LOW RESOLVE with 0.5 probability, yielding an expected payoff of (0.5 * -1) + (0.5 * 2) = 0.5. Backing down yields 0 for me with no risk. Given the risk of negative payoff, backing down is safer despite a slightly positive expected value of attacking.",0.9,0.7,2262,2723,668,2026-03-06T10:49:51.163888
V1_neutral,Neutral/Abstract,24,HIGH,ESCALATE,BACK_DOWN,0.5,1.0,COERCION_SUCCESS,1.0,0.0,False,False,"As a HIGH RESOLVE type, signaling ESCALATE conveys strength and willingness to fight, which may deter my opponent from attacking. This increases the chance they back down, giving me a payoff of +1. Although risking conflict leads to -1 payoff if attacked, the deterrence benefit outweighs the risk.","Given that the probability of Player A being HIGH RESOLVE is 0.5, attacking risks both players getting -1 if Player A is HIGH RESOLVE. The expected payoff from attacking is (0.5 * -1) + (0.5 * 2) = 0.5, which is positive but comes with risk. However, backing down yields a guaranteed payoff of 0 and avoids negative outcomes. Since ESCALATE does not differentiate types, and the risk of mutual loss is significant, backing down is the safer choice.",0.9,0.7,2193,2463,652,2026-03-06T10:49:56.120924
V1_neutral,Neutral/Abstract,25,HIGH,ESCALATE,ATTACK,0.5,1.0,WAR,-1.0,-1.0,False,False,"As a HIGH RESOLVE type, signaling ESCALATE credibly threatens to fight if attacked, potentially causing the opponent to back down and yielding a payoff of +1. If I signal NEGOTIATE, the opponent may perceive weakness and might choose to attack, risking a costly conflict. Therefore, ESCALATE maximizes my expected payoff given my strong capabilities.","Given the prior belief that Player A is HIGH RESOLVE with probability 0.5 and LOW RESOLVE with probability 0.5, and the signal ESCALATE which does not distinguish between types, the posterior remains 0.5. Attacking yields an expected payoff of (0.5 * -1) + (0.5 * 2) = 0.5, which is better than backing down with 0 payoff. Therefore, attacking is the rational choice.",0.9,0.8,2806,2844,650,2026-03-06T10:50:02.071865
V1_neutral,Neutral/Abstract,26,LOW,NEGOTIATE,BACK_DOWN,0.5,0.0,COERCION_SUCCESS,0.5,0.0,False,False,"As a low resolve player, I prefer to avoid conflict to minimize losses. Sending NEGOTIATE signals a willingness to avoid escalation, reducing the chance that my opponent attacks, which would lead to a heavy loss (-2). This strategy maximizes my expected payoff.","Given the signal NEGOTIATE, and no further information, the belief that Player A is HIGH RESOLVE remains at the prior 0.5. Attacking risks a -1 payoff if Player A is HIGH RESOLVE, while backing down yields a certain 0 payoff. The expected payoff of attacking is 0.5*(-1) + 0.5*2 = 0.5, which is positive, but the risk of mutual loss and the signal to negotiate suggests caution. Opting to BACK_DOWN avoids negative outcomes.",0.9,0.7,1720,2787,640,2026-03-06T10:50:06.879759
V1_neutral,Neutral/Abstract,27,HIGH,ESCALATE,ATTACK,0.5,1.0,WAR,-1.0,-1.0,False,False,"As a HIGH RESOLVE type, signaling ESCALATE credibly conveys strength, which may deter the opponent from attacking and induce them to back down, ensuring a payoff of +1. Signaling NEGOTIATE may make the opponent doubt my resolve and prompt an attack, risking a payoff of -1 or less.","Given the prior belief is 0.5 for HIGH RESOLVE and 0.5 for LOW RESOLVE, and the signal ESCALATE does not provide additional information to update this belief, the expected payoff from ATTACK (0.5*(-1) + 0.5*2 = 0.5) is greater than the payoff from BACK_DOWN (0). Therefore, ATTACK is the optimal action.",0.9,0.8,1977,2184,628,2026-03-06T10:50:11.342172
V1_neutral,Neutral/Abstract,28,LOW,NEGOTIATE,BACK_DOWN,0.5,0.0,COERCION_SUCCESS,0.5,0.0,False,False,"As a LOW RESOLVE type, I have weak capabilities and prefer to avoid conflict. Escalating risks being attacked and suffering a -2 loss, whereas negotiating encourages the opponent to back down and gain me +1. Therefore, negotiating maximizes my expected payoff.","Since the signal NEGOTIATE is sent by both HIGH RESOLVE and LOW RESOLVE types with equal probability, the posterior belief remains 0.5. Attacking risks mutual loss (-1) if Player A is HIGH RESOLVE and gains only if Player A is LOW RESOLVE. Backing down yields no loss and gives Player A a small gain, so it is safer.",0.9,0.8,1588,2250,609,2026-03-06T10:50:15.481761
V1_neutral,Neutral/Abstract,29,LOW,NEGOTIATE,BACK_DOWN,0.5,0.0,COERCION_SUCCESS,0.5,0.0,False,False,"As a LOW RESOLVE type, I prefer to avoid conflict because being attacked results in a larger loss (-2). Signaling NEGOTIATE is more likely to induce my opponent to back down, giving me a payoff of +1 rather than risking an attack.","The signal NEGOTIATE is sent, but it does not differentiate between HIGH RESOLVE and LOW RESOLVE types, so my belief remains at the prior 0.5. Attacking risks a -1 payoff if Player A is HIGH RESOLVE, but yields +2 if LOW RESOLVE. Backing down yields 0 payoff but avoids negative payoff risk. Expected payoff of ATTACK = 0.5*(-1) + 0.5*2 = 0.5, which is positive, so attacking could seem profitable. However, given the negative payoff risk and partial uncertainty, I prefer caution and BACK_DOWN to avoid potential losses.",0.9,0.6,1642,3909,662,2026-03-06T10:50:21.333848
V1_neutral,Neutral/Abstract,30,HIGH,ESCALATE,BACK_DOWN,0.5,1.0,COERCION_SUCCESS,1.0,0.0,False,False,"As a HIGH RESOLVE type, sending ESCALATE signals strength and willingness to fight, potentially deterring the opponent from attacking and causing them to back down, leading to a payoff of +1. Since fighting results in -1 but backing down is +1, signaling ESCALATE maximizes the chance of improving outcome.","Since the signal ESCALATE does not distinguish between HIGH RESOLVE and LOW RESOLVE types, the posterior belief remains at the prior 0.5. Attacking has an expected payoff of -0.5 (0.5 * -1 + 0.5 * 2), which is worse than backing down with a payoff of 0. Therefore, backing down is the safer and better expected choice.",0.9,0.9,1749,2433,628,2026-03-06T10:50:25.816857
V1_neutral,Neutral/Abstract,31,HIGH,ESCALATE,BACK_DOWN,0.5,1.0,COERCION_SUCCESS,1.0,0.0,False,False,"As a HIGH RESOLVE type, signaling ESCALATE credibly communicates strength and willingness to fight, deterring the opponent from attacking and increasing the likelihood they back down, yielding a payoff of +1. Choosing NEGOTIATE weakens this signal and may encourage opponent aggression, risking a loss of -1. Hence, ESCALATE maximizes expected payoff.","The signal ESCALATE does not differentiate between HIGH RESOLVE or LOW RESOLVE types, so the posterior belief remains at the prior 0.5. Attacking risks a -1 payoff if the opponent is HIGH RESOLVE, but yields +2 if opponent is LOW RESOLVE. Expected payoff of ATTACK is 0.5*(-1) + 0.5*2 = 0.5, which is positive, but the risk of mutual loss and uncertainty suggests caution. Choosing BACK_DOWN avoids loss and yields 0 payoff, while ATTACK risks possible negative outcome. Given the risk and uncertainty, I choose BACK_DOWN with moderate confidence 0.7.",0.9,0.7,1865,2893,679,2026-03-06T10:50:30.876940
V1_neutral,Neutral/Abstract,32,HIGH,ESCALATE,BACK_DOWN,0.5,1.0,COERCION_SUCCESS,1.0,0.0,False,False,"As a HIGH RESOLVE type, signaling ESCALATE credibly threatens to fight if attacked, increasing the chance the opponent will back down and I gain +1. Signaling NEGOTIATE risks the opponent attacking, leading to a payoff of -1. Therefore, ESCALATE maximizes my expected payoff.","Given the ESCALATE signal, the belief that Player A is HIGH RESOLVE remains 0.5 (no new info to update). Attacking risks a -1 payoff if HIGH RESOLVE, but yields +2 if LOW RESOLVE. Expected payoff from ATTACK is (0.5 * -1) + (0.5 * 2) = 0.5, which is positive and higher than BACK_DOWN's 0. However, attacking risks a negative outcome with 50% chance. Depending on risk preference, attacking could be justified. But given equal priors and the payoff structure, ATTACK has positive expected value, so ATTACK is chosen.",0.9,0.7,2145,2684,678,2026-03-06T10:50:36.008016
V1_neutral,Neutral/Abstract,33,HIGH,ESCALATE,ATTACK,0.5,1.0,WAR,-1.0,-1.0,False,False,"As a HIGH RESOLVE type, signaling ESCALATE credibly communicates my strong capabilities, which may deter the opponent from attacking and cause them to back down, resulting in a payoff of +1. Signaling NEGOTIATE could be perceived as weakness, increasing the likelihood of an attack and a negative payoff.","The prior probability that Player A is HIGH RESOLVE is 0.5. The signal ESCALATE does not provide additional information to update this belief. The expected payoff from ATTACK is (0.5 * -1) + (0.5 * 2) = 0.5, which is greater than the payoff from BACK_DOWN (0). Therefore, ATTACK is the better choice.",0.9,0.7,1845,1935,624,2026-03-06T10:50:40.089185
V1_neutral,Neutral/Abstract,34,HIGH,ESCALATE,ATTACK,0.5,1.0,WAR,-1.0,-1.0,False,False,"As a HIGH RESOLVE type, signaling ESCALATE credibly deters my opponent from attacking since they face a cost if they do. This may induce them to back down, yielding me a payoff of +1. Signaling NEGOTIATE could be seen as weakness, increasing the risk of attack and resulting in a payoff of -1. Therefore, ESCALATE maximizes my expected utility.","The signal ESCALATE does not provide additional information to update the prior belief; thus, the probability that Player A is HIGH RESOLVE remains 0.5. The expected payoff from ATTACK is 0.5*(-1) + 0.5*2 = 0.5, which is higher than 0 for BACK_DOWN. Therefore, ATTACK is the optimal action.",0.9,0.8,2892,3049,639,2026-03-06T10:50:46.331924
V1_neutral,Neutral/Abstract,35,HIGH,ESCALATE,ATTACK,0.5,1.0,WAR,-1.0,-1.0,False,False,"As a HIGH RESOLVE type, signaling ESCALATE credibly communicates my strong capabilities and willingness to fight, which may deter my opponent from attacking. This increases the chance they back down, granting me a +1 payoff. Since fighting does not cost me more than backing down, I prefer to signal ESCALATE to maximize payoff.","The prior probability that Player A is HIGH RESOLVE is 0.5 and the signal ESCALATE does not change this belief. The expected payoff of ATTACK is (0.5 * -1) + (0.5 * 2) = 0.5, which is greater than the payoff of BACK_DOWN (0). Therefore, attacking is the rational choice.",0.9,0.8,1960,2630,624,2026-03-06T10:50:51.223022
